Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2023 Toyota Highlander Hybrid XLE,"$42,497",Stuckey Nissan of State College,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"State College, PA (123 mi.)","32,250 mi."
2024 Toyota Grand Highlander Hybrid XLE,"$50,950",Wilkie Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Haverford, PA (91 mi.)","6,345 mi."
2019 Toyota RAV4 Hybrid Limited,"$24,915",Hyundai of Trenton,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Ewing Township, NJ (124 mi.)","78,564 mi."
2019 Toyota RAV4 Hybrid XLE,"$24,207",Bennett Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Lebanon, PA (77 mi.)","64,518 mi."
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
2024 Toyota RAV4 Hybrid Woodland,Not Priced,Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","38,140 mi."
2020 Toyota Highlander Hybrid XLE,"$35,595",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","51,520 mi."
2021 Toyota Venza LE,"$29,995",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","24,517 mi."
2024 Toyota Venza LE,"$33,990",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","29,697 mi."
2021 Toyota Sienna XLE,Not Priced,CMA's Chevrolet of Martinsburg,CVT,All-Wheel Drive,Hybrid,2.7,68 reviews,"Martinsburg, WV (72 mi.)","77,327 mi."
2015 Lexus RX 450h Base,Not Priced,Faulkner Volkswagen,CVT,All-Wheel Drive,Hybrid,4.2,347 reviews,"Mechanicsburg, PA (72 mi.)",0 mi.
2025 Toyota Camry SE,"$33,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","4,793 mi."
2024 Toyota RAV4 Hybrid LE,"$32,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","14,853 mi."
2022 Lexus NX 350h Premium,"$39,800",MotorWorld Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Wilkes-Barre, PA (147 mi.)","56,400 mi."
2022 Lexus LS 500h Base,"$97,974",Lexus of Cherry Hill,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Mount Laurel, NJ (104 mi.)","22,584 mi."
2024 Toyota RAV4 Prime XSE,"$46,987",Gloucester Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Gloucester, VA (130 mi.)","1,000 mi."
2021 Toyota Venza Limited,"$31,982",W & L Subaru,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Northumberland, PA (116 mi.)","38,696 mi."
2021 Lexus NX 300h,"$29,000",Lester Glenn Hyundai,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Toms River, NJ (143 mi.)","60,351 mi."
2021 Toyota RAV4 Hybrid XLE,"$28,396",Hertrich Chevrolet Toyota of Pocomoke,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Pocomoke City, MD (103 mi.)","48,808 mi."
2023 Toyota Highlander Hybrid XLE,"$42,497",Stuckey Nissan of State College,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"State College, PA (123 mi.)","32,250 mi."
2024 Toyota Grand Highlander Hybrid XLE,"$50,950",Wilkie Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Haverford, PA (91 mi.)","6,345 mi."
2019 Toyota RAV4 Hybrid Limited,"$24,915",Hyundai of Trenton,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Ewing Township, NJ (124 mi.)","78,564 mi."
2019 Toyota RAV4 Hybrid XLE,"$24,207",Bennett Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Lebanon, PA (77 mi.)","64,518 mi."
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
2024 Toyota RAV4 Hybrid Woodland,Not Priced,Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","38,140 mi."
2020 Toyota Highlander Hybrid XLE,"$35,595",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","51,520 mi."
2021 Toyota Venza LE,"$29,995",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","24,517 mi."
2024 Toyota Venza LE,"$33,990",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","29,697 mi."
2021 Toyota Sienna XLE,Not Priced,CMA's Chevrolet of Martinsburg,CVT,All-Wheel Drive,Hybrid,2.7,68 reviews,"Martinsburg, WV (72 mi.)","77,327 mi."
2015 Lexus RX 450h Base,Not Priced,Faulkner Volkswagen,CVT,All-Wheel Drive,Hybrid,4.2,347 reviews,"Mechanicsburg, PA (72 mi.)",0 mi.
2025 Toyota Camry SE,"$33,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","4,793 mi."
2024 Toyota RAV4 Hybrid LE,"$32,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","14,853 mi."
2022 Lexus NX 350h Premium,"$39,800",MotorWorld Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Wilkes-Barre, PA (147 mi.)","56,400 mi."
2022 Lexus LS 500h Base,"$97,974",Lexus of Cherry Hill,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Mount Laurel, NJ (104 mi.)","22,584 mi."
2024 Toyota RAV4 Prime XSE,"$46,987",Gloucester Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Gloucester, VA (130 mi.)","1,000 mi."
2021 Toyota Venza Limited,"$31,982",W & L Subaru,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Northumberland, PA (116 mi.)","38,696 mi."
2021 Lexus NX 300h,"$29,000",Lester Glenn Hyundai,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Toms River, NJ (143 mi.)","60,351 mi."
2021 Toyota RAV4 Hybrid XLE,"$28,396",Hertrich Chevrolet Toyota of Pocomoke,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Pocomoke City, MD (103 mi.)","48,808 mi."
2023 Toyota Highlander Hybrid XLE,"$42,497",Stuckey Nissan of State College,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"State College, PA (123 mi.)","32,250 mi."
2024 Toyota Grand Highlander Hybrid XLE,"$50,950",Wilkie Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Haverford, PA (91 mi.)","6,345 mi."
2019 Toyota RAV4 Hybrid Limited,"$24,915",Hyundai of Trenton,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Ewing Township, NJ (124 mi.)","78,564 mi."
2019 Toyota RAV4 Hybrid XLE,"$24,207",Bennett Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Lebanon, PA (77 mi.)","64,518 mi."
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
2024 Toyota RAV4 Hybrid Woodland,Not Priced,Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","38,140 mi."
2020 Toyota Highlander Hybrid XLE,"$35,595",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","51,520 mi."
2021 Toyota Venza LE,"$29,995",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","24,517 mi."
2024 Toyota Venza LE,"$33,990",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","29,697 mi."
2021 Toyota Sienna XLE,Not Priced,CMA's Chevrolet of Martinsburg,CVT,All-Wheel Drive,Hybrid,2.7,68 reviews,"Martinsburg, WV (72 mi.)","77,327 mi."
2015 Lexus RX 450h Base,Not Priced,Faulkner Volkswagen,CVT,All-Wheel Drive,Hybrid,4.2,347 reviews,"Mechanicsburg, PA (72 mi.)",0 mi.
2025 Toyota Camry SE,"$33,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","4,793 mi."
2024 Toyota RAV4 Hybrid LE,"$32,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","14,853 mi."
2022 Lexus NX 350h Premium,"$39,800",MotorWorld Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Wilkes-Barre, PA (147 mi.)","56,400 mi."
2022 Lexus LS 500h Base,"$97,974",Lexus of Cherry Hill,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Mount Laurel, NJ (104 mi.)","22,584 mi."
2024 Toyota RAV4 Prime XSE,"$46,987",Gloucester Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Gloucester, VA (130 mi.)","1,000 mi."
2021 Toyota Venza Limited,"$31,982",W & L Subaru,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Northumberland, PA (116 mi.)","38,696 mi."
2021 Lexus NX 300h,"$29,000",Lester Glenn Hyundai,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Toms River, NJ (143 mi.)","60,351 mi."
2021 Toyota RAV4 Hybrid XLE,"$28,396",Hertrich Chevrolet Toyota of Pocomoke,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Pocomoke City, MD (103 mi.)","48,808 mi."
2023 Toyota Highlander Hybrid XLE,"$42,497",Stuckey Nissan of State College,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"State College, PA (123 mi.)","32,250 mi."
2024 Toyota Grand Highlander Hybrid XLE,"$50,950",Wilkie Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Haverford, PA (91 mi.)","6,345 mi."
2019 Toyota RAV4 Hybrid Limited,"$24,915",Hyundai of Trenton,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Ewing Township, NJ (124 mi.)","78,564 mi."
2019 Toyota RAV4 Hybrid XLE,"$24,207",Bennett Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Lebanon, PA (77 mi.)","64,518 mi."
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
2024 Toyota RAV4 Hybrid Woodland,Not Priced,Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","38,140 mi."
2020 Toyota Highlander Hybrid XLE,"$35,595",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","51,520 mi."
2021 Toyota Venza LE,"$29,995",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","24,517 mi."
2024 Toyota Venza LE,"$33,990",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","29,697 mi."
2021 Toyota Sienna XLE,Not Priced,CMA's Chevrolet of Martinsburg,CVT,All-Wheel Drive,Hybrid,2.7,68 reviews,"Martinsburg, WV (72 mi.)","77,327 mi."
2015 Lexus RX 450h Base,Not Priced,Faulkner Volkswagen,CVT,All-Wheel Drive,Hybrid,4.2,347 reviews,"Mechanicsburg, PA (72 mi.)",0 mi.
2025 Toyota Camry SE,"$33,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","4,793 mi."
2024 Toyota RAV4 Hybrid LE,"$32,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","14,853 mi."
2022 Lexus NX 350h Premium,"$39,800",MotorWorld Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Wilkes-Barre, PA (147 mi.)","56,400 mi."
2022 Lexus LS 500h Base,"$97,974",Lexus of Cherry Hill,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Mount Laurel, NJ (104 mi.)","22,584 mi."
2024 Toyota RAV4 Prime XSE,"$46,987",Gloucester Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Gloucester, VA (130 mi.)","1,000 mi."
2021 Toyota Venza Limited,"$31,982",W & L Subaru,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Northumberland, PA (116 mi.)","38,696 mi."
2021 Lexus NX 300h,"$29,000",Lester Glenn Hyundai,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Toms River, NJ (143 mi.)","60,351 mi."
2021 Toyota RAV4 Hybrid XLE,"$28,396",Hertrich Chevrolet Toyota of Pocomoke,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Pocomoke City, MD (103 mi.)","48,808 mi."
2023 Toyota Highlander Hybrid XLE,"$42,497",Stuckey Nissan of State College,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"State College, PA (123 mi.)","32,250 mi."
2024 Toyota Grand Highlander Hybrid XLE,"$50,950",Wilkie Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Haverford, PA (91 mi.)","6,345 mi."
2019 Toyota RAV4 Hybrid Limited,"$24,915",Hyundai of Trenton,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Ewing Township, NJ (124 mi.)","78,564 mi."
2019 Toyota RAV4 Hybrid XLE,"$24,207",Bennett Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Lebanon, PA (77 mi.)","64,518 mi."
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
2024 Toyota RAV4 Hybrid Woodland,Not Priced,Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","38,140 mi."
2020 Toyota Highlander Hybrid XLE,"$35,595",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","51,520 mi."
2021 Toyota Venza LE,"$29,995",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","24,517 mi."
2024 Toyota Venza LE,"$33,990",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","29,697 mi."
2021 Toyota Sienna XLE,Not Priced,CMA's Chevrolet of Martinsburg,CVT,All-Wheel Drive,Hybrid,2.7,68 reviews,"Martinsburg, WV (72 mi.)","77,327 mi."
2015 Lexus RX 450h Base,Not Priced,Faulkner Volkswagen,CVT,All-Wheel Drive,Hybrid,4.2,347 reviews,"Mechanicsburg, PA (72 mi.)",0 mi.
2025 Toyota Camry SE,"$33,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","4,793 mi."
2024 Toyota RAV4 Hybrid LE,"$32,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","14,853 mi."
2022 Lexus NX 350h Premium,"$39,800",MotorWorld Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Wilkes-Barre, PA (147 mi.)","56,400 mi."
2022 Lexus LS 500h Base,"$97,974",Lexus of Cherry Hill,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Mount Laurel, NJ (104 mi.)","22,584 mi."
2024 Toyota RAV4 Prime XSE,"$46,987",Gloucester Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Gloucester, VA (130 mi.)","1,000 mi."
2021 Toyota Venza Limited,"$31,982",W & L Subaru,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Northumberland, PA (116 mi.)","38,696 mi."
2021 Lexus NX 300h,"$29,000",Lester Glenn Hyundai,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Toms River, NJ (143 mi.)","60,351 mi."
2021 Toyota RAV4 Hybrid XLE,"$28,396",Hertrich Chevrolet Toyota of Pocomoke,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Pocomoke City, MD (103 mi.)","48,808 mi."
2023 Toyota Highlander Hybrid XLE,"$42,497",Stuckey Nissan of State College,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"State College, PA (123 mi.)","32,250 mi."
2024 Toyota Grand Highlander Hybrid XLE,"$50,950",Wilkie Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Haverford, PA (91 mi.)","6,345 mi."
2019 Toyota RAV4 Hybrid Limited,"$24,915",Hyundai of Trenton,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Ewing Township, NJ (124 mi.)","78,564 mi."
2019 Toyota RAV4 Hybrid XLE,"$24,207",Bennett Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Lebanon, PA (77 mi.)","64,518 mi."
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
2024 Toyota RAV4 Hybrid Woodland,Not Priced,Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","38,140 mi."
2020 Toyota Highlander Hybrid XLE,"$35,595",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","51,520 mi."
2021 Toyota Venza LE,"$29,995",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","24,517 mi."
2024 Toyota Venza LE,"$33,990",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","29,697 mi."
2021 Toyota Sienna XLE,Not Priced,CMA's Chevrolet of Martinsburg,CVT,All-Wheel Drive,Hybrid,2.7,68 reviews,"Martinsburg, WV (72 mi.)","77,327 mi."
2015 Lexus RX 450h Base,Not Priced,Faulkner Volkswagen,CVT,All-Wheel Drive,Hybrid,4.2,347 reviews,"Mechanicsburg, PA (72 mi.)",0 mi.
2025 Toyota Camry SE,"$33,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","4,793 mi."
2024 Toyota RAV4 Hybrid LE,"$32,991",Team Toyota of Glen Mills,CVT,All-Wheel Drive,Hybrid,4,"1,306 reviews","Glen Mills, PA (76 mi.)","14,853 mi."
2022 Lexus NX 350h Premium,"$39,800",MotorWorld Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Wilkes-Barre, PA (147 mi.)","56,400 mi."
2022 Lexus LS 500h Base,"$97,974",Lexus of Cherry Hill,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Mount Laurel, NJ (104 mi.)","22,584 mi."
2024 Toyota RAV4 Prime XSE,"$46,987",Gloucester Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Gloucester, VA (130 mi.)","1,000 mi."
2021 Toyota Venza Limited,"$31,982",W & L Subaru,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Northumberland, PA (116 mi.)","38,696 mi."
2021 Lexus NX 300h,"$29,000",Lester Glenn Hyundai,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Toms River, NJ (143 mi.)","60,351 mi."
2021 Toyota RAV4 Hybrid XLE,"$28,396",Hertrich Chevrolet Toyota of Pocomoke,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Pocomoke City, MD (103 mi.)","48,808 mi."
2023 Toyota Highlander Hybrid XLE,"$42,497",Stuckey Nissan of State College,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"State College, PA (123 mi.)","32,250 mi."
2024 Toyota Grand Highlander Hybrid XLE,"$50,950",Wilkie Lexus,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Haverford, PA (91 mi.)","6,345 mi."
2019 Toyota RAV4 Hybrid Limited,"$24,915",Hyundai of Trenton,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Ewing Township, NJ (124 mi.)","78,564 mi."
2019 Toyota RAV4 Hybrid XLE,"$24,207",Bennett Toyota,CVT,All-Wheel Drive,Hybrid,N/A,N/A,"Lebanon, PA (77 mi.)","64,518 mi."
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
